SKU,Item_Name,Final_Qty
FR-OLSC-M1,Frido Orthotics Lumbo Sacral Belt - M,2
FR-OLSC-L1,Frido Orthotics Lumbo Sacral Belt - L,2
FR-OLSC-XL1,Frido Orthotics Lumbo Sacral Belt - XL,2
FR-OHP-GN-S1,Frido Orthotics Heel Protector - Green - S,3
FR-OHP-GN-L1,Frido Orthotics Heel Protector - Green - L,3
FR-OHP-BK-S1,Frido Orthotics Heel Protector - Black - S,3
FR-OHP-BK-L1,Frido Orthotics Heel Protector - Black - L,3
FR-OHP-BG-S1,Frido Orthotics Heel Protector - Beige - S,3
FR-OHP-BG-L1,Frido Orthotics Heel Protector - Beige - L,3
FR-KNEE-WRAP-M-WH1,Frido Orthotics Knee Support Wrap ï¿½ M ï¿½ White,3
FR-KNEE-WRAP-L-WH1,Frido Orthotics Knee Support Wrap ï¿½ L ï¿½ White,3
FR-KNEE-WRAP-XL-WH1,Frido Orthotics Knee Support Wrap ï¿½ XL ï¿½ White,3
FR-OKCS-BLK-XXL1,"Frido Active Knee Cap Support  Black, XXL",2
FR-OKCS-BLK-XL1,Frido Orthotics Knee Cap Support Black-XL,2
FR-OKCS-BLK-M1,Frido Orthotics Knee Cap Support- Black-M,2
FR-OKCS-BLK-L1,Frido Orthotics Knee Cap Support Black-L,2
FR-OPC-M1,Frido Orthotics Posture Corrector M,3
FR-OPC-L1,Frido Orthotics Posture Corrector-L,3
FR-UCNP-B1,Ultimate Car Neck Pillow - Black,5
FR-UCBC-G1,Frido Ultimate Car Backrest Cushion Grey,5
FR-UCWSC-B1,Frido Ultimate Car Wedge Seat Cushion - Black,5
FR-UCWSC-G1,Frido Ultimate Car Wedge Seat Cushion - Grey,5
FR-TNP-CB1,Frido Travel Neck Pillow Core Black,2
FR-TNP-BG1,Frido Travel Neck Pillow Bluish Grey,2
FR-TNP-SB1,Frido Travel Neck Pillow Sapphire Blue,2
FR-TNP-W1,Frido Travel Neck Pillow Wine,2
FR-OPCS-W1,Frido Orthotics Posture Corrector Seat - White,1
FR-PFI-S1,Frido Plantar Fasciitis Insole - S,2
FR-PFI-L1,Frido Plantar Fasciitis Insole - L,3
FR-OMFP-W1,Frido Ortho Memory Foam Pillow,3
FR-UCZP-R1,Frido Ultimate Cozy Pillow,2
FR-ULSC-B,Frido Lumbar Back Support Pillow - Black,1
FR-ULSC-G,Frido Lumbar Back Support Pillow - Grey,1
FR-CHTC-PNK1,Frido Cold & Hot Therapy Cap ï¿½ Pink,2
FR-CHTC-BLU1,Frido Cold & Hot Therapy Cap ï¿½ Blue,2
FR-3DEM-B1,Frido 3D Eye Mask - Black,2
FR-3DEM-G1,Frido 3D Eye Mask - Grey,2
FR-SPLUS-M-G1,FRIDO SILVER PLUS FACE MASK - M - Suitable for Adult Females and Men with medium size face / Pack of 1 / Soothing Grey,2
FR-SPLUS-M-B1,FRIDO SILVER PLUS FACE MASK - M - Suitable for Adult Females and Men with medium size face / Pack of 1 / Midnight Black,2
FR-UOVSS-08-B1,Frido Unisex orthoticsÂ  V-Strap Sandals - Black-8UK,1
FR-UOVSS-09-B1,Frido Unisex orthoticsÂ  V-Strap Sandals - Black-9UK,1
FR-UOVSS-010-B1,Frido Unisex orthoticsÂ  V-Strap Sandals - Black-10UK,1
FR-UCNP-MB1,Frido Premium Car Neck Rest Cushion -Midnight BlacK,2
FR-UCNRM-GY1,Frido Car Neck Rest Mini - Grey,2
FR-CCS-T-39,Frido Women's Cloud Comfort Sandal- TAN UK-6,1
FR-WACS-LG-6,Frido Women's Arch Comfort Sandals - Light Gold-6,1
FR-WCCS-TL-T-7,Frido Women's Cloud Comfort Sandal- Toeless - Tan-40,1
FR-CCASS-09-CB1,Frido Cloud Comfort Arch Support Slippers - Charcoal Black-9UK,1
