SKU,Item_Name,Quantity,Avg_Per_Day,Pareto,ABC,Weighted_Avg,Next_7_Days,Inventory,Stock_Required
MK-3P-50,3ply MB Mask,0.0,0.0,0.0,-,0.0,0.0,0.0,0
MK-CB-50,3ply Black Mask,0.0,0.0,0.0,-,0.0,0.0,0.0,0
MK-AS-M-B,Aerosilver - Black - M Size,0.0,0.0,0.0,-,0.0,0.0,1.0,-1
MK-AS-M-G,Aerosilver - Grey - M Size,0.0,0.0,0.0,-,0.0,0.0,0.0,0
MK-AS-L-B,Aerosilver - Black - L Size,0.0,0.0,0.0,-,0.0,0.0,3.0,-3
MK-AS-L-G,Aerosilver - Grey - L Size,0.0,0.0,0.0,-,0.0,0.0,3.0,-3
MK-ULT-XS-B,Ultimate Frido Mask - XS Size,0.0,0.0,0.0,-,0.0,0.0,0.0,0
MK-ULT-S-B,Ultimate Frido Mask (Black) - S Size,0.0,0.0,0.0,-,0.0,0.0,0.0,0
MK-ULT-M-B,Ultimate Frido Mask (Black) - M Size,0.0,0.0,0.0,-,0.0,0.0,0.0,0
MK-ULT-L-B,Ultimate Frido Mask (Black) - L Size,0.0,0.0,1.0,C,0.0,0.0,0.0,0
MK-ULTP-S-B,Frido Ultimate Pro (Black) - S Size,0.0,0.0,0.0,-,0.0,0.0,4.0,-4
MK-ULTP-M-B,Frido Ultimate Pro (Black) - M Size,0.0,0.0,1.0,C,0.0,0.0,2.0,-2
MK-ULTP-L-B,Frido Ultimate Pro (Black) - L Size,0.0,0.0,0.0,-,0.0,0.0,2.0,-2
MK-ULTP-S-G,Frido Ultimate Pro (Metallic Gray) - S Size,0.0,0.0,0.0,-,0.0,0.0,0.0,0
MK-ULTP-M-G,Frido Ultimate Pro (Metallic Gray) - M Size,0.0,0.0,1.0,C,0.0,0.0,1.0,-1
MK-ULTP-L-G,Frido Ultimate Pro (Metallic Gray) - L Size,0.0,0.0,0.0,-,0.0,0.0,0.0,0
MK-ULTP-S-P,Frido Ultimate Pro (Metallic Pink) - S Size,0.0,0.0,0.0,-,0.0,0.0,0.0,0
MK-ULTP-M-P,Frido Ultimate Pro (Metallic Pink) - M Size,0.0,0.0,0.0,-,0.0,0.0,0.0,0
FR-INS-M,Insoles Men - Dual Gel,0.0,0.0,1.0,C,0.0,0.0,3.0,-3
