Facility,Item Type Name,Item SkuCode,EAN,UPC,ISBN,Color,Size,Brand,Category Name,MRP,Open Sale,Inventory,Inventory Blocked,Bad Inventory,Putaway Pending,Pending Inventory Assessment,Stock In Transfer,Open Purchase,Enabled,Updated,Cost Price,Sub_category,Facility Code
Frido_0002,Frido Arch Sports Insole - XL,FR-ASPI-XL1,0612477565083,,,,XL,FRIDO,Insole,0.00,0,1,3,0,0,0,3,0,true,2026-05-20 15:13:59,106.00,Arch Sports Insole,Frido_0002
Frido_0002,Frido Barefoot Sock Shoe Pro - XS,FR-BFSS-XS1,,,,,,FRIDO,Footwear ,0.00,0,3,0,0,0,0,3,0,true,2026-05-07 16:09:42,0.00,,Frido_0002
Frido_0002,Frido Arch Support Insoles Rigid- Medium,FR-ASIR-M1,0612477565045,,,,Medium,FRIDO,Insole,0.00,0,8,6,0,0,0,3,0,true,2026-05-20 15:14:31,238.00,Arch Support Insoles Rigid,Frido_0002
Frido_0002,Frido Barefoot Sock Shoe Pro -Black-M,FR-BFSS-BL-M1,,,,,,FRIDO,Footwear ,0.00,0,3,0,0,0,0,3,0,true,2026-05-07 16:09:10,0.00,,Frido_0002
Frido_0002,Frido Barefoot Sock Shoe Pro -Black-S,FR-BFSS-BL-S1,,,,,,FRIDO,Footwear ,0.00,0,3,0,0,0,0,3,0,true,2026-05-07 16:09:09,0.00,,Frido_0002
Frido_0002,Frido Arch Support Insoles Rigid - Large,FR-ASIR-L1,0612477565038,,,,large,FRIDO,Insole,0.00,0,9,7,0,0,0,3,0,true,2026-05-23 20:55:21,238.00,Arch Support Insoles Rigid,Frido_0002
Frido_0002,Barefoot Sock Shoe Classic - Black-XS,FR-BFSS-CL-BL-XS1,,,,Black,,FRIDO,Footwear ,0.00,0,3,0,0,0,0,3,0,true,2026-05-07 16:08:35,0.00,,Frido_0002
Frido_0002,Barefoot Sock Shoe Classic - Black-L,FR-BFSS-CL-BL-L1,,,,Black,,FRIDO,Footwear ,0.00,0,3,0,0,0,0,3,0,true,2026-05-07 16:08:35,0.00,,Frido_0002
Frido_0002,Frido Barefoot Sock Shoe Pro -Black-L,FR-BFSS-BL-L1,,,,,,FRIDO,Footwear ,0.00,0,3,0,0,0,0,3,0,true,2026-05-07 16:09:10,0.00,,Frido_0002
Frido_0002,Frido Barefoot Sock Shoe Pro - Medium,FR-UBFSS-M1,,,,,,FRIDO,Footwear ,0.00,0,4,0,0,0,0,3,0,true,2026-05-07 16:08:44,0.00,,Frido_0002
Frido_0002,Frido Barefoot Sock Shoe Classic -L,FR-BFSS-CL-L1,,,,,,FRIDO,Footwear ,0.00,0,3,0,0,0,0,3,0,true,2026-05-07 16:09:39,0.00,,Frido_0002
Frido_0002,Barefoot Sock Shoe Classic - Black-M,FR-BFSS-CL-BL-M1,,,,Black,,FRIDO,Footwear ,0.00,0,3,0,0,0,0,3,0,true,2026-05-07 16:08:35,0.00,,Frido_0002
Frido_0002,Frido Arch Sports Insole - Small,FR-ASPI-S1,0612477565076,,,,Small,FRIDO,Insole,0.00,0,0,7,0,0,0,4,0,true,2026-05-26 10:55:10,106.00,Arch Sports Insole,Frido_0002
Frido_0002,Frido Orthopaedic Heel Pad Pro  L - Transparent,FR-OHPP-TP-L1,,,,,,FRIDO,Insole,0.00,0,1,3,0,0,0,3,0,true,2026-05-20 15:13:09,0.00,Heel Pad Pro,Frido_0002
Frido_0002,Frido Orthopaedic Heel Pad Pro  S - Grey,FR-OHPP-G-S1,,,,,,FRIDO,Insole,0.00,0,2,4,0,0,0,3,0,true,2026-05-25 15:20:24,0.00,Heel Pad Pro,Frido_0002
Frido_0002,Frido Arch Sports Insole - Large,FR-ASPI-L1,0612477565069,,,,large,FRIDO,Insole,0.00,0,0,6,0,0,0,6,0,true,2026-05-20 15:14:24,106.00,Arch Sports Insole,Frido_0002
Frido_0002,Barefoot Sock Shoe Classic - Black-XL,FR-BFSS-CL-BL-XL1,,,,Black,,FRIDO,Footwear ,0.00,0,3,0,0,0,0,3,0,true,2026-05-07 16:08:36,0.00,,Frido_0002
Frido_0002,Frido Barefoot Sock Shoe Pro -Charcoal Grey-S,FR-BFSS-CG-S1,,,,,,FRIDO,Footwear ,0.00,0,3,0,0,0,0,3,0,true,2026-05-07 16:09:07,0.00,,Frido_0002
Frido_0002,Frido Ball of Foot Cushions Pro,FR-BFC-Pro1,0612477693090,,,,,FRIDO,Insole,0.00,2,0,0,0,0,0,3,0,true,2026-05-07 16:05:59,0.00,Ball of Foot Cushions Pro,Frido_0002
Frido_0002,Frido Barefoot Sock Shoe Pro -Charcoal Grey-M,FR-BFSS-CG-M1,,,,,,FRIDO,Footwear ,0.00,0,4,0,0,0,0,3,0,true,2026-05-07 16:09:07,0.00,,Frido_0002
Frido_0002,Frido Baby Shoes -Toffee Tan - 6 - 9 Months,FR-BBS-6-9-TT1,,,,,,FRIDO,Footwear ,0.00,0,6,0,0,0,0,4,0,true,2026-05-07 16:09:42,0.00,,Frido_0002
