Item Code,Item Created On,Item Updated On,Item Status,GRN Number,Shelf Code,Category,Item Type Name,Brand,Colour,Size,Item Type skuCode,Vendor skuCode,Expires On,Unit price without tax,Unit price with tax,Custom Field Values,Days in warehouse,Inventory type,Sub_category,Putaway Code,Picklist Code,Gatepass Code,Facility Id
RTD762739,11-10-2025 10:33,01-06-2026 17:57,GOOD_INVENTORY,G5782,DEFAULT,Insole,Frido Silicone Gel Insole  L - Transparent,FRIDO,,,FR-SGI-TP-L1,FR-SGI-TP-L1,,50,59,,233,GOOD_INVENTORY,Silicone Gel Insole,PT7868,,,83921
RTD763083,11-10-2025 10:33,01-06-2026 17:57,GOOD_INVENTORY,G5782,DEFAULT,Insole,Frido Silicone Gel Insole  L - Transparent,FRIDO,,,FR-SGI-TP-L1,FR-SGI-TP-L1,,50,59,,233,GOOD_INVENTORY,Silicone Gel Insole,PT7868,,,83921
RTD763400,11-10-2025 10:33,01-06-2026 17:57,GOOD_INVENTORY,G5782,DEFAULT,Insole,Frido Silicone Gel Insole  L - Transparent,FRIDO,,,FR-SGI-TP-L1,FR-SGI-TP-L1,,50,59,,233,GOOD_INVENTORY,Silicone Gel Insole,PT7868,,,83921
RTD764199,11-10-2025 10:37,01-06-2026 17:57,GOOD_INVENTORY,G5782,DEFAULT,Insole,Frido Silicone Gel Insole  L - Beige,FRIDO,,,FR-SGI-BE-L1,FR-SGI-BE-L1,,50,59,,233,GOOD_INVENTORY,Silicone Gel Insole,PT7868,,,83921
RTD764516,11-10-2025 10:37,01-06-2026 17:57,GOOD_INVENTORY,G5782,DEFAULT,Insole,Frido Silicone Gel Insole  L - Beige,FRIDO,,,FR-SGI-BE-L1,FR-SGI-BE-L1,,50,59,,233,GOOD_INVENTORY,Silicone Gel Insole,PT7868,,,83921
RTD879369,05-11-2025 09:19,01-06-2026 17:57,GOOD_INVENTORY,G6142,DEFAULT,Socks,Frido Active Socks - Charcoal Grey - S1,FRIDO,,,FR-AS-CG-S1,FR-AS-CG-S1,,50,59,,208,GOOD_INVENTORY,,PT8260,,,83921
RTD879457,05-11-2025 09:19,01-06-2026 17:57,GOOD_INVENTORY,G6142,DEFAULT,Socks,Frido Active Socks - Charcoal Grey - S1,FRIDO,,,FR-AS-CG-S1,FR-AS-CG-S1,,50,59,,208,GOOD_INVENTORY,,PT8260,,,83921
RTD896738,10-11-2025 14:08,01-06-2026 17:57,GOOD_INVENTORY,G6238,DEFAULT,Socks,Frido Active Socks Cyan - Small,FRIDO,Cyan,,FR-ASC-S1,FR-ASC-S1,,50,59,,203,GOOD_INVENTORY,,PT8368,,,83921
RTD897006,10-11-2025 14:08,01-06-2026 17:57,GOOD_INVENTORY,G6238,DEFAULT,Socks,Frido Active Socks Cyan - Small,FRIDO,Cyan,,FR-ASC-S1,FR-ASC-S1,,50,59,,203,GOOD_INVENTORY,,PT8368,,,83921
RTD1003195,10-12-2025 15:36,01-06-2026 17:57,GOOD_INVENTORY,G6707,DEFAULT,Socks,Frido Active Socks - Ankle Length - Cyan -S,FRIDO,,,FR-AS-AL-C-S1,FR-AS-AL-C-S1,,50,59,,173,GOOD_INVENTORY,,PT8857,,,83921
RTD1007877,12-12-2025 15:18,01-06-2026 17:57,GOOD_INVENTORY,G6739,DEFAULT,Socks,Frido Active Socks - Ankle Length - Neon Green - S,FRIDO,,,FR-AS-AL-NG-S1,FR-AS-AL-NG-S1,,50,59,,171,GOOD_INVENTORY,,PT8893,,,83921
RTD1008580,12-12-2025 15:26,01-06-2026 17:57,GOOD_INVENTORY,G6739,DEFAULT,Socks,Frido Active Socks - Ankle Length - Charcoal Grey - S,FRIDO,,,FR-AS-AL-CG-S1,FR-AS-AL-CG-S1,,50,59,,171,GOOD_INVENTORY,,PT8893,,,83921
RTD1197870,17-01-2026 14:16,01-06-2026 18:07,GOOD_INVENTORY,G7434,Display,Footwear ,Frido Women's Arch Comfort Sandals - Dark Silver-4,FRIDO,Dark Silver,4,FR-WACS-DS-4,FR-WACS-DS-4,,50,59,,135,GOOD_INVENTORY,,PT9623,,,83921
RTD1197872,17-01-2026 14:16,01-06-2026 17:57,GOOD_INVENTORY,G7434,DEFAULT,Footwear ,Frido Women's Arch Comfort Sandals - Dark Silver-4,FRIDO,Dark Silver,4,FR-WACS-DS-4,FR-WACS-DS-4,,50,59,,135,GOOD_INVENTORY,,PT9623,,,83921
RTD1243925,29-01-2026 16:47,01-06-2026 17:57,GOOD_INVENTORY,G7690,DEFAULT,Socks,Winter socks - Yellow(Small - Medium),FRIDO,,,FR-WS-Y-SM1,FR-WS-Y-SM1,,10,10.5,,123,GOOD_INVENTORY,,PT9917,,,83921
RTD1243929,29-01-2026 16:47,01-06-2026 17:57,GOOD_INVENTORY,G7690,DEFAULT,Socks,Winter socks - Yellow(Small - Medium),FRIDO,,,FR-WS-Y-SM1,FR-WS-Y-SM1,,10,10.5,,123,GOOD_INVENTORY,,PT9917,,,83921
RTD1255744,31-01-2026 14:42,01-06-2026 17:57,GOOD_INVENTORY,G7747,DEFAULT,Socks,Frido Active Socks - Ankle Length - Neon Green - S,FRIDO,,,FR-AS-AL-NG-S1,FR-AS-AL-NG-S1,,50,59,,121,GOOD_INVENTORY,,PT9980,,,83921
RTD1299666,09-02-2026 12:05,01-06-2026 17:57,GOOD_INVENTORY,G7939,DEFAULT,Orthotics,Frido Mouse Wrist Support - Left,FRIDO,,,FR-MWS-L1,FR-MWS-L1,,50,59,,112,GOOD_INVENTORY,,PT10206,,,83921
RTD1331261,14-02-2026 11:46,01-06-2026 17:57,GOOD_INVENTORY,G8085,DEFAULT,Socks,Frido Active Socks - Ankle Length� - Core Black - S,FRIDO,,,FR-AS-AL-CB-S1,FR-AS-AL-CB-S1,,50,59,,107,GOOD_INVENTORY,,PT10377,,,83921
RTD1382197,23-02-2026 14:45,01-06-2026 17:57,GOOD_INVENTORY,G8314,DEFAULT,Footwear ,Frido x HRX Barefoot Sock Shoe Pro-S,FRIDO,,S,FR-HRX-BFSS-S1,FR-HRX-BFSS-S1,,50,59,,98,GOOD_INVENTORY,,PT10640,,,83921
RTD1542895,20-03-2026 12:11,01-06-2026 17:57,GOOD_INVENTORY,G8979,DEFAULT,Insole,Frido Silicone Gel Insole  L - Grey,FRIDO,,,FR-SGI-G-L1,FR-SGI-G-L1,,50,59,,73,GOOD_INVENTORY,Silicone Gel Insole,PT11405,,,83921
RTD1542921,20-03-2026 12:11,01-06-2026 17:57,GOOD_INVENTORY,G8979,DEFAULT,Insole,Frido Silicone Gel Insole  L - Grey,FRIDO,,,FR-SGI-G-L1,FR-SGI-G-L1,,50,59,,73,GOOD_INVENTORY,Silicone Gel Insole,PT11405,,,83921
RTD1542990,20-03-2026 12:11,01-06-2026 17:57,GOOD_INVENTORY,G8979,DEFAULT,Insole,Frido Silicone Gel Insole  L - Grey,FRIDO,,,FR-SGI-G-L1,FR-SGI-G-L1,,50,59,,73,GOOD_INVENTORY,Silicone Gel Insole,PT11405,,,83921
RTD1543002,20-03-2026 12:11,01-06-2026 17:57,GOOD_INVENTORY,G8979,DEFAULT,Insole,Frido Silicone Gel Insole  L - Grey,FRIDO,,,FR-SGI-G-L1,FR-SGI-G-L1,,50,59,,73,GOOD_INVENTORY,Silicone Gel Insole,PT11405,,,83921
RTD1543047,20-03-2026 12:11,01-06-2026 17:57,GOOD_INVENTORY,G8979,DEFAULT,Insole,Frido Silicone Gel Insole  L - Grey,FRIDO,,,FR-SGI-G-L1,FR-SGI-G-L1,,50,59,,73,GOOD_INVENTORY,Silicone Gel Insole,PT11405,,,83921
RTD1543048,20-03-2026 12:11,01-06-2026 17:57,GOOD_INVENTORY,G8979,DEFAULT,Insole,Frido Silicone Gel Insole  L - Grey,FRIDO,,,FR-SGI-G-L1,FR-SGI-G-L1,,50,59,,73,GOOD_INVENTORY,Silicone Gel Insole,PT11405,,,83921
RTD1554580,21-03-2026 16:12,01-06-2026 17:57,GOOD_INVENTORY,G9012,DEFAULT,Orthotics,Frido Orthotics Knee Cap Support- Black-M,FRIDO,,,FR-OKCS-BLK-M1,FR-OKCS-BLK-M1,,50,59,,72,GOOD_INVENTORY,,PT11439,,,83921
RTD1555837,21-03-2026 16:20,01-06-2026 17:57,GOOD_INVENTORY,G9012,DEFAULT,Insole,Frido Orthopaedic Heel Pad Pro  L - Beige,FRIDO,,,FR-OHPP-BE-L1,FR-OHPP-BE-L1,,10,11.8,,72,GOOD_INVENTORY,Heel Pad Pro,PT11439,,,83921
RTD1555890,21-03-2026 16:20,01-06-2026 17:57,GOOD_INVENTORY,G9012,DEFAULT,Insole,Frido Orthopaedic Heel Pad Pro  L - Beige,FRIDO,,,FR-OHPP-BE-L1,FR-OHPP-BE-L1,,10,11.8,,72,GOOD_INVENTORY,Heel Pad Pro,PT11439,,,83921
RTD1556003,21-03-2026 16:20,01-06-2026 17:57,GOOD_INVENTORY,G9012,DEFAULT,Insole,Frido Orthopaedic Heel Pad Pro  L - Beige,FRIDO,,,FR-OHPP-BE-L1,FR-OHPP-BE-L1,,10,11.8,,72,GOOD_INVENTORY,Heel Pad Pro,PT11439,,,83921
